Q1,Q2,Q3,Q4,Q5,Programme
38,7,10,18,7,1
24,1,10,12,2,2
32,0,10,0,16,4
36,1,10,2,8,2
26,7,10,2,20,2
30,4,7,1,20,2
36,10,10,18,12,2
18,0,10,0,6,2
8,0,3,0,0,4
16,1,2,0,0,2
32,6,10,0,16,2
28,5,10,7,20,2
28,7,10,17,2,2
26,2,10,18,12,2
32,2,10,2,16,2
26,1,10,1,0,2
26,0,10,0,8,2
6,0,0,0,4,4
26,10,10,17,12,2
32,7,10,18,20,2
34,5,10,20,4,2
26,1,10,4,8,2
18,2,0,0,4,2
34,0,10,2,8,2
32,5,10,0,10,4
18,0,5,0,0,2
18,0,0,3,16,2
32,7,10,7,16,2
30,7,2,0,12,2
36,10,10,20,10,4
32,1,10,0,8,2
24,5,10,8,8,4
26,1,10,2,16,2
32,5,10,9,12,2
12,4,0,2,0,1
14,1,10,2,1,2
16,0,0,0,0,2
30,0,10,10,12,4
18,7,9,1,6,2
28,0,2,11,6,2
26,0,10,3,0,2
26,1,10,6,12,2
40,7,10,14,20,2
20,6,10,3,0,2
34,3,10,0,4,2
28,5,10,15,20,2
34,0,10,0,0,2
28,5,10,3,8,2
32,5,10,10,16,2
32,7,6,18,12,1
30,1,10,10,10,2
38,10,10,0,12,1
16,1,10,0,8,1
26,5,10,0,10,1
30,0,2,2,0,1
24,5,10,0,14,1
34,5,10,8,12,2
28,2,10,2,0,1
34,1,2,2,0,0
24,2,10,2,18,1
20,1,10,2,0,2
28,7,10,3,4,1
38,5,10,4,20,2
20,1,10,0,16,2
30,1,3,0,12,2
18,2,10,0,4,2
26,1,10,4,0,2
24,7,10,2,8,2
34,7,10,9,0,2
18,2,10,0,16,2
34,7,10,0,14,2
20,0,2,10,12,2
32,8,7,0,12,2
30,5,10,2,0,2
38,10,10,20,20,2
38,7,10,7,1,2
24,0,10,0,6,2
14,0,0,0,16,2
16,1,10,0,0,1
24,8,10,0,6,1
18,7,10,4,6,2
26,2,10,2,4,1
30,7,10,2,4,1
22,2,10,4,4,1
18,2,3,10,4,1
18,7,6,2,10,1
28,1,10,16,12,2
18,7,10,2,16,2
26,7,10,0,2,4
20,1,9,0,0,4
18,1,10,2,6,2
18,0,10,2,4,2
28,1,10,0,0,1
32,7,10,0,6,1
26,7,0,14,4,2
26,7,10,5,18,2
14,7,0,2,0,1
36,0,10,6,2,4
24,1,4,0,4,4
22,7,10,0,0,1
20,7,10,20,10,1
26,1,0,2,6,2
22,1,10,0,16,1
16,0,0,0,2,2
28,7,9,0,4,2
10,2,0,0,0,1
26,7,10,0,8,2
28,7,10,2,0,2
22,1,10,14,0,2
28,5,6,0,4,2
20,5,2,2,4,1
32,5,10,20,18,2
28,7,10,2,8,2
34,10,10,14,16,4
28,10,10,20,2,2
28,7,10,2,2,1
30,2,2,0,8,1
34,0,0,11,4,4
18,0,0,0,2,1
22,1,2,2,5,1
14,4,10,0,4,1
24,5,3,2,4,1
38,0,10,0,2,1
16,1,0,2,4,0
16,2,6,4,0,1
20,7,10,8,4,1
30,7,10,2,10,1
28,7,10,2,4,1
28,5,10,18,12,2
4,0,0,0,0,0
32,0,10,2,20,4
34,5,10,10,8,2
28,8,10,5,8,1
16,7,10,3,2,1
14,5,10,4,2,1
20,5,10,0,12,1
30,2,8,0,0,2
32,1,10,2,8,2
38,4,10,18,8,2
20,7,10,3,12,1
26,6,10,15,6,1
26,4,10,9,4,1
12,6,2,0,8,1
34,7,10,0,6,2
30,5,0,0,3,1
10,2,0,2,6,1
16,5,6,2,7,1
12,6,2,2,10,1
28,3,10,4,7,2
20,5,10,6,4,1
20,0,0,0,4,2
24,4,10,7,12,4
26,6,10,8,10,2
28,5,10,12,20,2
28,1,10,12,8,2
20,0,10,4,0,2
16,4,10,0,12,4
32,4,10,10,4,1
24,6,8,5,0,1
24,8,0,6,8,1
24,2,4,0,12,2
24,6,10,0,8,1
34,2,10,2,4,2
38,5,10,4,10,2
30,0,10,2,8,2
32,7,10,1,12,4
24,2,6,5,18,2
24,6,10,0,6,2
22,8,10,7,4,2
24,2,10,4,4,1
22,0,5,2,8,2
24,7,10,14,14,1
28,8,10,20,14,2
22,8,10,11,4,1
28,7,0,0,6,1
34,4,10,8,8,2
24,4,0,0,3,2
28,10,10,15,20,2
32,5,10,14,13,2
36,8,10,16,18,2
22,4,10,20,12,2
30,0,10,5,0,2
24,1,10,0,0,2
28,7,2,7,0,2
32,0,10,2,0,1
30,1,10,5,0,2
26,0,7,0,4,2
14,7,10,2,0,1
24,0,10,2,4,0
